DATAFLOW,FREQ,INDICADOR,AREA_REF,CIUO,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTAS_INDICADOR,DECIMALS,NOTAS,FUENTE,UNIDAD,MULT
CL01:DF_BGYMEDIOOCU_CIUO(1.0),A,BGYMEDIOOCU,01,CIUO_2,2017,-30.8996737697073,Y,,1,"<a href="" https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Suplementaria de Ingresos (ESI),PT,0
CL01:DF_BGYMEDIOOCU_CIUO(1.0),A,BGYMEDIOOCU,01,CIUO_2,2018,-20.5508198725877,,,1,"<a href="" https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Suplementaria de Ingresos (ESI),PT,0
CL01:DF_BGYMEDIOOCU_CIUO(1.0),A,BGYMEDIOOCU,01,CIUO_2,2019,-7.45327163840947,,,1,"<a href="" https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Suplementaria de Ingresos (ESI),PT,0
CL01:DF_BGYMEDIOOCU_CIUO(1.0),A,BGYMEDIOOCU,01,CIUO_2,2020,-25.0995938387293,,,1,"<a href="" https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Suplementaria de Ingresos (ESI),PT,0
CL01:DF_BGYMEDIOOCU_CIUO(1.0),A,BGYMEDIOOCU,01,CIUO_2,2021,-20.2176083804873,,,1,"<a href="" https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Suplementaria de Ingresos (ESI),PT,0
CL01:DF_BGYMEDIOOCU_CIUO(1.0),A,BGYMEDIOOCU,01,CIUO_2,2022,-23.624647097424,,,1,"<a href="" https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Suplementaria de Ingresos (ESI),PT,0
CL01:DF_BGYMEDIOOCU_CIUO(1.0),A,BGYMEDIOOCU,01,CIUO_2,2023,-28.6363666397135,,,1,"<a href="" https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Suplementaria de Ingresos (ESI),PT,0
CL01:DF_BGYMEDIOOCU_CIUO(1.0),A,BGYMEDIOOCU,01,CIUO_2,2024,-18.5964494611334,,,1,"<a href="" https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Suplementaria de Ingresos (ESI),PT,0
CL01:DF_BGYMEDIOOCU_CIUO(1.0),A,BGYMEDIOOCU,02,CIUO_5,2017,-40.6863295243673,,,1,"<a href="" https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Suplementaria de Ingresos (ESI),PT,0
CL01:DF_BGYMEDIOOCU_CIUO(1.0),A,BGYMEDIOOCU,02,CIUO_5,2018,-38.9427833769282,,,1,"<a href="" https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Suplementaria de Ingresos (ESI),PT,0
