DATAFLOW,AREA_REF,FREQ,INDICADOR,UNIDAD,RAMA,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTAS_INDICADOR,DECIMALS,NOTAS,FUENTE,MULT
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2023-M01,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2023-M02,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2023-M03,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2023-M04,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2023-M05,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2023-M06,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2023-M07,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2023-M08,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2023-M09,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2023-M10,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2023-M11,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2023-M12,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2024-M01,5.254088636147425,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2024-M02,5.541814878293461,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2024-M03,6.173061119485412,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2024-M04,5.645578992364175,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2024-M05,6.622366317812967,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2024-M06,5.51308451048933,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2024-M07,5.765336869143778,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2024-M08,6.20372172409378,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2024-M09,5.585230510895589,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2024-M10,6.222746979369886,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2024-M11,6.838043855258702,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2024-M12,5.036467940596201,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2025-M01,6.167736643986421,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2025-M02,6.437060666807004,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2025-M03,5.778395569808703,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2025-M04,6.682176218569569,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2025-M05,6.401747609071551,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2025-M06,6.966573605261539,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2025-M07,6.0809612839439975,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2025-M08,7.274163544030121,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2025-M09,5.7462227320507875,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2025-M10,5.782980199550813,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2025-M11,4.873284268823652,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2025-M12,5.3561903300430425,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2026-M01,5.308501559476686,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2026-M02,5.524133889643812,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,K,2026-M03,4.639793145290638,,Valor provisional,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2023-M01,98.65482662782581,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2023-M02,98.14498582557238,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2023-M03,98.52472935038398,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2023-M04,99.37722021233417,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2023-M05,99.05406677623418,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2023-M06,99.12829705475166,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2023-M07,100.23719856502323,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2023-M08,100.22836565958706,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2023-M09,101.07536638159833,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2023-M10,101.98370619568713,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2023-M11,101.50478331606226,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2023-M12,102.08645403493979,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2024-M01,104.0092527987709,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2024-M02,103.84112419916204,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2024-M03,104.92888176911673,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2024-M04,105.02432092883643,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2024-M05,105.28173062948795,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2024-M06,106.41314021948077,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2024-M07,108.84481494079407,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2024-M08,108.63399566736298,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2024-M09,109.01918645237683,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2024-M10,109.81155858929804,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2024-M11,110.39091582050361,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2024-M12,110.88709873253009,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2025-M01,112.72126785153137,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2025-M02,112.24666199048195,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2025-M03,112.7443430086036,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2025-M04,112.90103416184078,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2025-M05,113.26129186138509,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2025-M06,113.81297117734356,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2025-M07,115.00368782146127,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2025-M08,115.43975262809201,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2025-M09,115.50157725480541,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2025-M10,116.1596890660298,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2025-M11,116.40999409863063,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2025-M12,117.52989125976605,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2026-M01,119.33469279315024,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2026-M02,119.73584867797227,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,J,2026-M03,120.76357883641579,,Valor provisional,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2023-M01,96.69102191365445,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2023-M02,96.6267666406768,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2023-M03,97.60464015107524,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2023-M04,98.32830051090923,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2023-M05,99.88043695574574,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2023-M06,99.87858491238366,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2023-M07,100.08986911206647,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2023-M08,100.63894337433408,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2023-M09,102.2047441021112,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2023-M10,101.88822676699247,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2023-M11,102.15340192218594,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2023-M12,104.01506363786467,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2024-M01,104.09730650583094,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2024-M02,103.38138403745728,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2024-M03,104.83387125811998,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2024-M04,104.62235374019068,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2024-M05,104.96086101585041,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2024-M06,107.09708926864292,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2024-M07,109.8924051079794,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2024-M08,110.04087538659896,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2024-M09,110.89922870425234,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2024-M10,110.29986575969123,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2024-M11,110.36625531238023,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2024-M12,110.67969641767651,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2025-M01,112.01353596047734,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2025-M02,112.19941093699636,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2025-M03,113.26427967599683,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2025-M04,114.38938351412763,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2025-M05,115.71739123346686,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2025-M06,116.07892897018087,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2025-M07,116.31022343389286,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2025-M08,116.70818741101823,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2025-M09,117.71928974988022,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2025-M10,118.28344715820072,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2025-M11,118.6028938613339,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2025-M12,119.14460991327743,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2026-M01,120.08153185106484,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2026-M02,119.62379165859794,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,IX,F,2026-M03,120.47128849260996,,Valor provisional,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2023-M01,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2023-M02,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2023-M03,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2023-M04,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2023-M05,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2023-M06,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2023-M07,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2023-M08,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2023-M09,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2023-M10,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2023-M11,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2023-M12,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2024-M01,3.8414266616996207,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2024-M02,5.04533672547316,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2024-M03,4.996050547343778,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2024-M04,5.250026355099169,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2024-M05,5.486630025435302,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2024-M06,5.195113099967963,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2024-M07,5.613079306686819,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2024-M08,6.043382281423115,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2024-M09,5.0994176741366415,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2024-M10,5.205803704578127,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2024-M11,5.714140432597925,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2024-M12,3.5144251401448834,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2025-M01,5.4276158536670005,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2025-M02,5.372417317224554,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2025-M03,5.324220830554283,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_RAMA(1.0),_T,M,IR2023,VAR12,O,2025-M04,4.432391942680902,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
