DATAFLOW,AREA_REF,FREQ,INDICADOR,UNIDAD,SEXO,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTAS_INDICADOR,DECIMALS,NOTAS,FUENTE,MULT
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2023-M01,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2023-M02,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2023-M03,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2023-M04,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2023-M05,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2023-M06,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2023-M07,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2023-M08,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2023-M09,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2023-M10,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2023-M11,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2023-M12,,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2024-M01,6.286549390744645,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2024-M02,6.384834906192127,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2024-M03,6.952674113677415,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2024-M04,6.411492184292178,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2024-M05,6.716357965586428,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2024-M06,6.920605351860076,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2024-M07,8.383199237772976,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2024-M08,8.618201681093641,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2024-M09,7.719580029463957,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2024-M10,7.987779220525959,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2024-M11,8.195139423718057,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2024-M12,7.312964869640126,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2025-M01,8.224804100112927,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2025-M02,8.788489292015878,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2025-M03,7.926320834747713,R,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2025-M04,7.924513392963184,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2025-M05,7.811333803045839,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2025-M06,7.390608725028502,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
CL01:DF_IR2023_SEXO(1.0),_T,M,IR2023,VAR12,M,2025-M07,5.851695039344795,,,2,,Encuesta Mensual de Remuneraciones y Costos Laborales,0
