DATAFLOW,FREQ,INDICADOR,AREA_REF,SEXO,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTAS_INDICADOR,DECIMALS,NOTAS,FUENTE,UNIDAD,MULT
CL01:DF_DES_SEXO(1.0),M,DES,16,F,2010-01-01/P3M,7618.680341356546,X,,0,"<a href=""https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Nacional de Empleo (ENE),PS,0
CL01:DF_DES_SEXO(1.0),M,DES,16,F,2010-02-01/P3M,6674.220013587649,X,,0,"<a href=""https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Nacional de Empleo (ENE),PS,0
CL01:DF_DES_SEXO(1.0),M,DES,16,F,2010-03-01/P3M,8192.327838565952,X,,0,"<a href=""https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Nacional de Empleo (ENE),PS,0
CL01:DF_DES_SEXO(1.0),M,DES,16,F,2010-04-01/P3M,8671.938414791857,X,,0,"<a href=""https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Nacional de Empleo (ENE),PS,0
CL01:DF_DES_SEXO(1.0),M,DES,16,F,2010-05-01/P3M,7977.520828112053,X,,0,"<a href=""https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Nacional de Empleo (ENE),PS,0
CL01:DF_DES_SEXO(1.0),M,DES,16,F,2010-06-01/P3M,7882.249270629592,X,,0,"<a href=""https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Nacional de Empleo (ENE),PS,0
CL01:DF_DES_SEXO(1.0),M,DES,16,F,2010-07-01/P3M,7246.848208371558,X,,0,"<a href=""https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Nacional de Empleo (ENE),PS,0
CL01:DF_DES_SEXO(1.0),M,DES,16,F,2010-08-01/P3M,7058.258357024396,X,,0,"<a href=""https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Nacional de Empleo (ENE),PS,0
CL01:DF_DES_SEXO(1.0),M,DES,16,F,2010-09-01/P3M,5960.0775941231595,X,,0,"<a href=""https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Nacional de Empleo (ENE),PS,0
CL01:DF_DES_SEXO(1.0),M,DES,16,F,2010-10-01/P3M,6816.178391060878,X,,0,"<a href=""https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Nacional de Empleo (ENE),PS,0
CL01:DF_DES_SEXO(1.0),M,DES,16,F,2010-11-01/P3M,7386.865725181563,X,,0,"<a href=""https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Nacional de Empleo (ENE),PS,0
CL01:DF_DES_SEXO(1.0),M,DES,16,F,2010-12-01/P3M,8251.729783241,X,,0,"<a href=""https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Nacional de Empleo (ENE),PS,0
CL01:DF_DES_SEXO(1.0),M,DES,16,F,2011-01-01/P3M,8986.581952977756,X,,0,"<a href=""https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Nacional de Empleo (ENE),PS,0
CL01:DF_DES_SEXO(1.0),M,DES,16,F,2011-02-01/P3M,9008.664321449573,X,,0,"<a href=""https://www.ine.gob.cl/docs/default-source/institucionalidad/buenas-pr%C3%A1cticas/clasificaciones-y-estandares/est%C3%A1ndar-evaluaci%C3%B3n-de-calidad-de-estimaciones-publicaci%C3%B3n-27022020.pdf/"" target=""_blank"" rel=""noopener noreferrer"">La clasificación en estimaciones Fiables, Poco fiables y No fiables provienen del Estándar para la evaluación de la calidad de las estimaciones en encuestas de hogares del INE.</a>",Encuesta Nacional de Empleo (ENE),PS,0
